the_geom,cartodb_id,code_rpa,description_rep,latitude,longitude
0101000020E61000008ECD8E54DF6452C00F0EF62686BE4640,172,RD-TT,Réel,45.488469,-73.576131
0101000020E6100000EE2422FC8B6352C0A5164A26A7C04640,173,RD-TT,Réel,45.505101,-73.555419
0101000020E6100000B03A72A4336652C0D3838252B4C44640,174,RD-TT,Réel,45.536753,-73.596902
0101000020E6100000DC4AAFCDC66252C0B75ED38382C64640,175,RD-TT,Réel,45.550858,-73.543384
0101000020E6100000E1ECD632196B52C035423F53AFC34640,176,RD-TT,Réel,45.528788,-73.673413
0101000020E61000003A3FC571E06652C0D65240DAFFC64640,177,RD-TT,Réel,45.554683,-73.607449
0101000020E61000002AE620E8686252C091D0967329CC4640,178,RD-TT,Archive,45.595015,-73.537653
0101000020E61000002D25CB49286252C0A453573ECBC74640,179,RD-TT,Réel,45.56089,-73.533709
0101000020E6100000AB984A3FE16452C07B13437232C74640,180,RD-TT,Réel,45.556227,-73.576248
0101000020E610000063EE5A423E6752C0145FED28CEBB4640,181,RD-TT,Réel,45.467229,-73.613175
0101000020E61000000CC85EEFFE6652C07F33315D88C54640,182,RD-TT,Enlevé,45.543224,-73.60931
0101000020E610000043739D465A6852C02FC03E3A75BB4640,183,RD-TT,Réel,45.464515,-73.63051
0101000020E6100000C03E3A75E56752C00ADCBA9BA7C64640,184,RD-TT,Réel,45.55199,-73.62338
0101000020E6100000207BBDFBE36352C07AAA436E86C34640,185,RD-TT,Réel,45.52754,-73.56079
0101000020E610000039D1AE42CA6452C040BE840A0EC34640,186,RD-TT,Réel,45.523866,-73.574845
0101000020E610000007D3307C446452C01343723271BD4640,187,RD-TT,Réel,45.480017,-73.56668
0101000020E6100000DDED7A698A6452C0155454FD4AC74640,188,RD-TT,Réel,45.556976,-73.570948
0101000020E6100000ADDC0BCC0A6452C08FA50F5D50BD4640,189,RD-TT,Réel,45.479015,-73.563159
0101000020E610000064027E8D246552C0077AA86DC3C44640,190,RD-TT,Enlevé,45.537214,-73.580356
0101000020E6100000BDC3EDD0B06652C091EEE714E4C54640,191,RD-TT,Enlevé,45.546023,-73.604542
0101000020E6100000D3DC0A61356352C0A393A5D6FBC14640,192,RD-TT,Réel,45.515498,-73.550133
0101000020E610000044A4A65D4C6652C05AA148F773C44640,193,RD-TT,Réel,45.534789,-73.598411
0101000020E6100000DD990986736252C0BEF90D130DC64640,194,RD-TT,Réel,45.547274,-73.538301
0101000020E610000022C32ADEC86652C0382EE3A606C44640,195,RD-TT,Réel,45.531453,-73.60601
0101000020E61000000ABB287AE06452C020459DB987BE4640,196,RD-TT,Réel,45.488517,-73.576201
0101000020E61000006551D845D16752C016139B8F6BBF4640,197,RD-TT,Réel,45.49547,-73.622148
0101000020E61000004CC2853C826552C0E9F17B9BFEBA4640,198,RD-TT,Enlevé,45.460895,-73.586074
0101000020E61000005BCEA5B8AA6552C05247C7D5C8C24640,199,RD-TT,Réel,45.521754,-73.588545
0101000020E610000044C02154A96852C0BA66F2CD36C54640,200,RD-TT,Réel,45.540735,-73.635335
0101000020E61000006612F5824F5F52C043E38920CED14640,201,RD-TT,Réel,45.639103,-73.489228
0101000020E610000047C66AF3FF6752C055A69883A0BD4640,202,RD-TT,Réel,45.481461,-73.624997
